video_id,gt_start,gt_end,pred_start,pred_end,iou,hit@0.3,hit@0.5,hit@0.7
AO8RW,0.0,6.9,18.76531637094074,26.76531637094074,0.0,0,0,0
Y6R7T,20.8,30.0,20.024,28.024,0.7241379310344829,1,1,1
Y6R7T,20.8,30.0,20.024,28.024,0.7241379310344829,1,1,1
Y6R7T,7.3,17.3,11.348666666666666,19.348666666666666,0.4939412383112932,1,0,0
Y6R7T,7.3,17.3,11.348666666666666,19.348666666666666,0.4939412383112932,1,0,0
Y6R7T,7.3,17.3,11.348666666666666,19.348666666666666,0.4939412383112932,1,0,0
IGDIE,22.7,34.0,16.666666666666668,24.666666666666668,0.11346153846153857,0,0,0
7UPGT,13.9,19.7,16.600858369098713,23.244635193133046,0.3316492904055481,1,0,0
KBPDM,7.1,13.6,26.697333333333333,34.69733333333333,0.0,0,0,0
KBPDM,0.0,11.1,0.0,6.002000000000001,0.5407207207207207,1,1,0
KBPDM,3.1,18.7,25.362666666666666,33.36266666666667,0.0,0,0,0
IBIWF,0.0,14.5,4.008000000000001,12.008000000000001,0.5517241379310345,1,1,0
372CC,17.5,29.9,16.0,24.0,0.4676258992805756,1,0,0
372CC,17.5,29.9,16.0,24.0,0.4676258992805756,1,0,0
N14BK,39.3,45.0,35.37266666666667,43.37266666666667,0.4230316460078946,1,0,0
NQT1S,18.3,31.0,24.88888888888889,30.25925925925926,0.4228638086905804,1,0,0
F1VEE,27.0,32.0,19.2,27.2,0.015624999999999944,0,0,0
F1VEE,15.1,23.8,19.2,27.2,0.38016528925619847,1,0,0
F1VEE,15.1,23.8,13.600000000000001,21.6,0.6372549019607845,1,1,0
F1VEE,19.2,28.2,19.2,27.2,0.8888888888888888,1,1,1
F1VEE,15.1,23.8,13.600000000000001,21.6,0.6372549019607845,1,1,0
YDWN5,6.2,12.6,8.012,13.646966666666668,0.616089772569592,1,1,0
QRWQ3,19.1,29.0,17.793169203527768,25.793169203527768,0.5972401408643281,1,1,0
QRWQ3,19.1,29.0,17.793169203527768,25.793169203527768,0.5972401408643281,1,1,0
SFHHR,21.5,28.0,6.844166666666666,14.844166666666666,0.0,0,0,0
HWYTN,0.0,4.0,0.0,4.0,1.0,1,1,1
HWYTN,0.0,4.0,0.0,7.336666666666667,0.5452067242162654,1,1,0
